panel,umap1,umap2,cluster,label,cohort,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand,setting,n_patients,ARI,AMI,NMI,purity_weighted,purity_balanced,ARI_boot_lo,ARI_boot_hi,AMI_boot_lo,AMI_boot_hi,NMI_boot_lo,NMI_boot_hi,purity_weighted_boot_lo,purity_weighted_boot_hi,purity_balanced_boot_lo,purity_balanced_boot_hi,bootstrap,patient_id,n_cand,n_oth,med_cand,med_oth,diff,arm,Ki67,CD31
A,3.7749817,10.271204,4.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,3.1545594,9.549987,6.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.2697527,7.50342,11.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.6226156,4.751611,0.0,CD4 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.9748287,9.883807,3.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,3.1158283,1.9285343,17.0,CD8 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,10.194807,6.5327306,10.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,10.042133,7.5947604,10.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,6.5241604,6.110502,9.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,3.0811975,8.900617,6.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.9369187,9.012256,6.0,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,9.110793,7.603944,11.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2.3125043,4.933797,7.0,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.2958956,5.6050344,13.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.8504462,5.5441613,18.0,B cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.154864,4.262287,0.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,8.239691,8.39332,19.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.5753776,2.2965193,0.0,B cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2.9119291,9.28405,4.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-0.5530354,5.6079407,2.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
